"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"371.applu331","12","tsan","(nil)","n/a","n/a","ImplTaskRegion1",0.0681639,114.258,670392,132786536622,29870414,271251166937,144680,8457134448,248386,23641571,374800,4404946477,179020,22712784,263290,6236796444,231584,2409380112,670392,132786536622,28712974,203594091353,483280,17944406304,674160,49712669280,253648,30619330656,1852672,19275040896
"371.applu331","12","tsan","0x4e0eee","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/setbv.f90","5","ImplTaskRegion2",1.00425,1.00425,69649373,69649373,183139809,183139809,22032306,22032306,201305,201305,13184287,13184287,32813,32813,57974937,57974937,28973214,28973214,69649373,69649373,6881361,6881361,-287278544,-287278544,463536992,463536992,232013784,232013784,231785712,231785712
"371.applu331","12","tsan","0x4e23d3","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/setiv.f90","33","ImplTaskRegion3",71.0493,71.0493,4983493786,4983493786,13502847705,13502847705,1796219396,1796219396,2355563,2355563,1046813111,1046813111,141613,141613,4878296200,4878296200,2420217298,2420217298,4983493786,4983493786,-866907463,-866907463,-24655481528,-24655481528,39025236696,39025236696,19664631216,19664631216,19361738384,19361738384
"371.applu331","12","tsan","0x4cdabe","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/erhs.f90","4","ImplTaskRegion4",2.91701,2.91701,2773966058,2773966058,4914271021,4914271021,116056912,116056912,341007,341007,58028932,58028932,112254,112254,24344089,24344089,15673509,15673509,2773966058,2773966058,3985815725,3985815725,734600616,734600616,193854680,193854680,69364640,69364640,125388072,125388072
"371.applu331","12","tsan","0x4e4156","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/ssor.fppized.f90","45","ImplTaskRegion5",0.245405,0.245405,18957215,18957215,43040822,43040822,2208723,2208723,79415,79415,2064259,2064259,14768,14768,2037026,2037026,1095187,1095187,18957215,18957215,25371038,25371038,1491720,1491720,16178064,16178064,7534712,7534712,8761496,8761496
"371.applu331","12","tsan","0x4e037d","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/rhs.fppized.f90","24","ImplTaskRegion6",398.345,398.345,392780230255,392780230255,932037703402,932037703402,32125109633,32125109633,25569458,25569458,14876894071,14876894071,21724614,21724614,7641261317,7641261317,7017960342,7017960342,392780230255,392780230255,675036826338,675036826338,196044583440,196044583440,60956293624,60956293624,4986407800,4986407800,56143682736,56143682736
"371.applu331","12","tsan","0x4d4e57","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/l2norm.f90","42","ImplTaskRegion7",0.129288,0.129288,102102667,102102667,228268681,228268681,8859369,8859369,40226,40226,357855,357855,35177,35177,9070637,9070637,8499016,8499016,102102667,102102667,157393729,157393729,-1408728,-1408728,72283680,72283680,4572968,4572968,67992128,67992128
"371.applu331","12","tsan","0x4e423a","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/ssor.fppized.f90","115","ImplTaskRegion8",890.623,890.623,1122348127769,1122348127769,2188532404898,2188532404898,58597450407,58597450407,267637085,267637085,31516096941,31516096941,263437644,263437644,56013437147,56013437147,14045504749,14045504749,1122348127769,1122348127769,1719752801642,1719752801642,22779607232,22779607232,445999996024,445999996024,335743459184,335743459184,112364037992,112364037992
"371.applu331","12","tsan","0x4cdfee","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/error.f90","28","ImplTaskRegion9",5.84511,5.84511,459088088,459088088,1244720187,1244720187,154905272,154905272,108685,108685,88521734,88521734,22269,22269,419882041,419882041,208501335,208501335,459088088,459088088,5478011,5478011,-2119636000,-2119636000,3358878176,3358878176,1691045648,1691045648,1668010680,1668010680
"371.applu331","12","tsan","0x4d73c8","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/371.applu331/build/build_base_tsan-profiler.0000/pintgr.f90","34","ImplTaskRegion10",0.607509,0.607509,42598577,42598577,214152598,214152598,329750,329750,30815,30815,192286,192286,14223,14223,295896,295896,200940,200940,42598577,42598577,211514598,211514598,384616,384616,2253384,2253384,759648,759648,1607520,1607520
