"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"367.imagick","24","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",3.87932,168.073,2568861816,97819854258,3743930516,170369905701,158428222,18474103482,214477174,408009528,345255673,2095500805,50866017,90872916,96310005,1256512634,48929513,338204877,2568861816,97819854258,3585502294,151895802219,112984234,17308463764,45443988,1165639718,47380492,918307757,48929513,338204877
"367.imagick","24","ixe-base","0x5342ec","n/a","n/a","ImplTaskRegion2",7.62896,7.62896,1997467502,1997467502,4138915237,4138915237,76438417,76438417,113200787,113200787,182374908,182374908,26744418,26744418,44353550,44353550,21550412,21550412,1997467502,1997467502,4062476820,4062476820,58829285,58829285,17609132,17609132,22803138,22803138,21550412,21550412
"367.imagick","24","ixe-base","0x46e118","n/a","n/a","ImplTaskRegion3",0.404388,0.404388,98597566,98597566,136237474,136237474,6848161,6848161,10325868,10325868,16492417,16492417,2558450,2558450,4291103,4291103,1837627,1837627,98597566,98597566,129389313,129389313,5115508,5115508,1732653,1732653,2453476,2453476,1837627,1837627
"367.imagick","24","ixe-base","0x5cde60","n/a","n/a","ImplTaskRegion4",0.536506,0.536506,56218921,56218921,71469706,71469706,2924720,2924720,3788523,3788523,6292075,6292075,1027137,1027137,1710470,1710470,697456,697456,56218921,56218921,68544986,68544986,2241387,2241387,683333,683333,1013014,1013014,697456,697456
"367.imagick","24","ixe-base","0x5cc560","n/a","n/a","ImplTaskRegion5",0.587723,0.587723,46597656,46597656,64715159,64715159,2961919,2961919,4449577,4449577,7112038,7112038,1284970,1284970,2061438,2061438,1067197,1067197,46597656,46597656,61753240,61753240,2185451,2185451,776468,776468,994241,994241,1067197,1067197
"367.imagick","24","ixe-base","0x60e056","n/a","n/a","ImplTaskRegion6",0.187425,0.187425,15822220,15822220,22009420,22009420,1161988,1161988,1842254,1842254,2870059,2870059,578323,578323,953321,953321,464361,464361,15822220,15822220,20847432,20847432,786990,786990,374998,374998,488960,488960,464361,464361
"367.imagick","24","ixe-base","0x5b7c55","n/a","n/a","ImplTaskRegion7",1.66887,1.66887,83894343,83894343,134921590,134921590,6677075,6677075,10600052,10600052,16574605,16574605,1557523,1557523,4071100,4071100,1933587,1933587,83894343,83894343,128244515,128244515,4163498,4163498,2513577,2513577,2137513,2137513,1933587,1933587
"367.imagick","24","ixe-base","0x5b66e5","n/a","n/a","ImplTaskRegion8",3.04853,3.04853,792935307,792935307,1037383407,1037383407,29775348,29775348,7985790,7985790,23005223,23005223,1490316,1490316,6058390,6058390,3032002,3032002,792935307,792935307,1007608059,1007608059,25207274,25207274,4568074,4568074,3026388,3026388,3032002,3032002
"367.imagick","24","ixe-base","0x4f915c","n/a","n/a","ImplTaskRegion9",1.59073,1.59073,124544698,124544698,175661159,175661159,7328666,7328666,5452828,5452828,11771799,11771799,755247,755247,5237911,5237911,2721676,2721676,124544698,124544698,168332493,168332493,2846002,2846002,4482664,4482664,2516235,2516235,2721676,2721676
"367.imagick","24","ixe-base","0x4ab4ea","n/a","n/a","ImplTaskRegion10",3746.96,3746.96,2219216905029,2219216905029,3878317168078,3878317168078,436023520124,436023520124,1025788256,1025788256,35573997919,35573997919,341366510,341366510,25386970986,25386970986,7799159277,7799159277,2219216905029,2219216905029,3442293647954,3442293647954,410977915648,410977915648,25045604476,25045604476,17587811709,17587811709,7799159277,7799159277
"367.imagick","24","ixe-base","0x514100","n/a","n/a","ImplTaskRegion11",17.1654,17.1654,5023986497,5023986497,6918463325,6918463325,209415346,209415346,782445508,782445508,904626277,904626277,2116912,2116912,29263399,29263399,15707803,15707803,5023986497,5023986497,6709047979,6709047979,182268859,182268859,27146487,27146487,13555596,13555596,15707803,15707803
"367.imagick","24","ixe-base","0x608e3b","n/a","n/a","ImplTaskRegion12",1.42053,1.42053,249009004,249009004,382625716,382625716,11012852,11012852,5671769,5671769,14686216,14686216,676121,676121,5707829,5707829,3183234,3183234,249009004,249009004,371612864,371612864,5981144,5981144,5031708,5031708,2524595,2524595,3183234,3183234
"367.imagick","24","ixe-base","0x4b18a4","n/a","n/a","ImplTaskRegion13",11.329,11.329,1073375164,1073375164,1497024232,1497024232,40655071,40655071,14114814,14114814,34894828,34894828,6390957,6390957,18339668,18339668,8955907,8955907,1073375164,1073375164,1456369161,1456369161,28706360,28706360,11948711,11948711,9383761,9383761,8955907,8955907
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
