"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"376.kdtree","12","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",0.873956,75.0351,547245096,11563948103,765424085,67881759254,50306946,1033467273,50161363,1452657135,89583252,2247186654,11487336,70376762,18898985,682681711,13715089,248022380,547245096,11563948103,715117139,66848291981,42895297,421162324,7411649,612304949,5183896,434659331,13715089,248022380
"376.kdtree","12","ixe-base","0x401674","n/a","n/a","ImplTaskRegion2",3.85703,3.85703,2422576877,2422576877,3254141821,3254141821,67912998,67912998,34297303,34297303,79243602,79243602,7755041,7755041,16708883,16708883,15228513,15228513,2422576877,2422576877,3186228823,3186228823,58959156,58959156,8953842,8953842,1480370,1480370,15228513,15228513
"376.kdtree","12","ixe-base","0x40173e","n/a","n/a","ImplTaskRegion3",1.00599,1.00599,127927287,127927287,182581352,182581352,9471576,9471576,13251281,13251281,21699563,21699563,2398847,2398847,7720872,7720872,4916222,4916222,127927287,127927287,173109776,173109776,4149551,4149551,5322025,5322025,2804650,2804650,4916222,4916222
"376.kdtree","12","ixe-base","0x401c24","n/a","n/a","ImplTaskRegion4",0.487616,4.76773,115399691,956428175,153735833,2000845568,7396075,69556435,8245970,115570775,14328526,173378815,2022244,18933843,4044141,51180813,768758,22778859,115399691,956428175,146339758,1931289133,5374178,37309465,2021897,32246970,3275383,28401954,768758,22778859
"376.kdtree","12","ixe-base","0x402810","n/a","n/a","ExplTaskRegion5",1.35142,6.53152,245538566,1248562911,590822136,3223721237,21625218,110887864,40817790,228270693,58820200,318578259,5945206,31162068,15862611,80363122,7594406,36452001,245538566,1248562911,569196918,3112833373,11707813,61686810,9917405,49201054,8268205,43911121,7594406,36452001
"376.kdtree","12","ixe-base","0x402928","n/a","n/a","ExplTaskRegion6",2.0183,10.977,318765386,1707243195,717933656,4057134065,26304772,145364249,45773173,293171928,67636720,412023765,6560271,43637664,18183744,106174958,8821792,46116960,318765386,1707243195,691628884,3911769816,14681299,82826955,11623473,62537294,9361952,60057998,8821792,46116960
"376.kdtree","12","ixe-base","0x401d13","n/a","n/a","ImplTaskRegion7",0.102172,838.198,13138136,100991564029,17818715,753783127975,955605,11026549317,1597494,16532055398,2457077,25042392703,520093,581538386,837509,7822727424,606245,3784261467,13138136,100991564029,16863110,742756578658,638189,3785360279,317416,7241189038,231264,4038465957,606245,3784261467
"376.kdtree","12","ixe-base","0x402bad","n/a","n/a","ExplTaskRegion8",3.87607,400.501,1110638235,46868344320,3413678763,361473985890,89444128,5192032831,201711860,7677545155,270494424,11681848192,31273254,203447477,63725347,3668844168,29087843,1657532084,1110638235,46868344320,3324234635,356281953059,56992035,1726636140,32452093,3465396691,34637504,2011312084,29087843,1657532084
"376.kdtree","12","ixe-base","0x402c7a","n/a","n/a","ExplTaskRegion9",3.85994,403.817,1053273977,47129003821,3340143368,363285358289,87601405,5217304973,200213991,7722815816,268076640,11748870033,28585440,199421473,60198689,3686568549,27282442,1909599580,1053273977,47129003821,3252541963,358068053316,55988156,1730157897,31613249,3487147076,32916247,1776968969,27282442,1909599580
"376.kdtree","12","ixe-base","0x403271","n/a","n/a","ExplTaskRegion10",392.486,392.486,45398542477,45398542477,354154091943,354154091943,5060256787,5060256787,7431367119,7431367119,11335915856,11335915856,145816400,145816400,3544916860,3544916860,1514588084,1514588084,45398542477,45398542477,349093835156,349093835156,1661156327,1661156327,3399100460,3399100460,2030328776,2030328776,1514588084,1514588084
"376.kdtree","12","ixe-base","0x402d84","n/a","n/a","ExplTaskRegion11",4.50232,3666.95,1074408445,439491006466,3836320249,3299359390559,92533336,48155692163,211219879,72116733748,284311911,109273025803,39956993,2466834720,78633528,34135091804,35895103,16655116637,1074408445,439491006466,3743786913,3251203698396,53856801,16487435079,38676535,31668257084,42738425,17479975167,35895103,16655116637
"376.kdtree","12","ixe-base","0x402e37","n/a","n/a","ExplTaskRegion12",5.33824,4009.93,1425535196,480983538591,4604438314,3604725430416,119434950,52623434411,282062979,79005725581,376475292,119599856003,44539899,2728683875,90204592,37288162552,40666032,18045498308,1425535196,480983538591,4485003364,3552101996005,73770257,18063955734,45664693,34559478677,49538560,19242664244,40666032,18045498308
"376.kdtree","12","ixe-base","0x4031a6","n/a","n/a","ExplTaskRegion13",399.719,399.719,45838078456,45838078456,360270018627,360270018627,5105868171,5105868171,7477157166,7477157166,11417676124,11417676124,147079995,147079995,3594746805,3594746805,1953955462,1953955462,45838078456,45838078456,355164150456,355164150456,1658201361,1658201361,3447666810,3447666810,1640791343,1640791343,1953955462,1953955462
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"376.kdtree","12","base","(nil)","n/a","n/a","ImplTaskRegion1",0.0109701,0.15045,918175,185694884,5447222,265185270,1390141,2527350,23082,1882286,1364994,4212750,20643,31486,75603,215194,41562,81901,918175,185694884,4057081,262657920,1335181,2343642,54960,183708,34041,133293,41562,81901
"376.kdtree","12","base","0x401deb","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","781","ImplTaskRegion2",0.00353956,0.00353956,86051,86051,68439,68439,10435,10435,17181,17181,26628,26628,7799,7799,14377,14377,8032,8032,86051,86051,58004,58004,3857,3857,6578,6578,6345,6345,8032,8032
"376.kdtree","12","base","0x401e32","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","806","ImplTaskRegion3",0.00738358,0.00738358,487279,487279,533306,533306,14306,14306,12756,12756,25000,25000,1922,1922,14595,14595,7702,7702,487279,487279,519000,519000,1633,1633,12673,12673,6893,6893,7702,7702
"376.kdtree","12","base","0x401f2c","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","856","ImplTaskRegion4",0.000285625,0.0241964,60723,11867261,215816,19400854,62769,777319,10049,511787,68918,1220616,4488,18423,13166,255596,6589,119323,60723,11867261,153047,18623535,54091,540146,8678,237173,6577,136273,6589,119323
"376.kdtree","12","base","0x401273","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","411","ExplTaskRegion5",0.00733519,0.0384538,4586191,25894936,7100811,39907226,315458,1021419,190739,1010927,480089,1927387,4505,11331,90868,243257,39710,96935,4586191,25894936,6785353,38885807,229095,789493,86363,231926,51158,146322,39710,96935
"376.kdtree","12","base","0x4013c8","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","441","ExplTaskRegion6",0.00954247,0.0500722,4809681,31278941,7402789,48136685,298516,1180279,181112,1252471,454081,2308223,6089,21223,73294,236697,32330,97423,4809681,31278941,7104273,46956406,231311,964805,67205,215474,40964,139274,32330,97423
"376.kdtree","12","base","0x401f6e","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","894","ImplTaskRegion7",9.5129e-05,1.53489,31001,2201855059,57242,3074257249,1707,11831017,7543,20784240,9007,31099799,2589,7432,3790,880916,2114,465047,31001,2201855059,55535,3062426232,506,10957533,1201,873484,1676,415869,2114,465047
"376.kdtree","12","base","0x401738","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","561","ExplTaskRegion8",0.606373,1.19741,1025213705,2039610701,1396270973,2774585194,3988548,7766149,5926521,10999628,9382611,17669156,685,1218,136797,255597,66994,130049,1025213705,2039610701,1392282425,2766819045,3852436,7511770,136112,254379,69803,125548,66994,130049
"376.kdtree","12","base","0x401696","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","539","ExplTaskRegion9",0.612334,1.1978,1035105370,2041034116,1409404590,2776217418,3984084,7597975,6126624,11135271,9621843,17782612,901,1097,169556,308590,88485,159941,1035105370,2041034116,1405420506,2768619443,3815429,7290482,168655,307493,81071,148649,88485,159941
"376.kdtree","12","base","0x401a2b","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","630","ExplTaskRegion10",0.0388231,6.74281,24362055,9806937509,39975399,13668365389,680064,50837711,1749351,90185973,2352709,134527946,763,6462,46849,1954967,21390,974851,24362055,9806937509,39295335,13617527678,633978,48889206,46086,1948505,25459,980116,21390,974851
"376.kdtree","12","base","0x401b0d","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/376.kdtree/build/build_base_base-profiler.0000/kdtree.cc","643","ExplTaskRegion11",0.0532966,7.22157,33097545,10493166285,54777284,14627215369,710781,54223975,1983064,96951063,2615447,144153093,758,8495,38014,1739679,17889,841484,33097545,10493166285,54066503,14572991394,673525,52492791,37256,1731184,20125,898195,17889,841484
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"376.kdtree","12","ixe-detail","(nil)","n/a","n/a","ImplTaskRegion1",2.05057,250.831,967577953,37736137171,2016163550,168685806005,298951213,4727555107,49895672,1950602447,209828414,5440492505,11267934,149327488,24581620,2322010918,13653932,1172356300,967577953,37736137171,1717212337,163958250898,285637527,2554871677,13313686,2172683430,10927688,1149654618,13653932,1172356300
"376.kdtree","12","ixe-detail","0x401674","n/a","n/a","ImplTaskRegion2",3.84908,3.84908,876764373,876764373,1204164819,1204164819,62372655,62372655,91551913,91551913,147912750,147912750,21121825,21121825,34988155,34988155,29889421,29889421,876764373,876764373,1141792164,1141792164,48506325,48506325,13866330,13866330,5098734,5098734,29889421,29889421
"376.kdtree","12","ixe-detail","0x40173e","n/a","n/a","ImplTaskRegion3",1.13105,1.13105,141605988,141605988,222759679,222759679,11166866,11166866,15520941,15520941,25522126,25522126,2286233,2286233,9760997,9760997,5876092,5876092,141605988,141605988,211592813,211592813,3692102,3692102,7474764,7474764,3884905,3884905,5876092,5876092
"376.kdtree","12","ixe-detail","0x401c24","n/a","n/a","ImplTaskRegion4",0.668844,24.7478,135715760,3386671108,224838344,7623311916,15798248,327976297,8041479,141706660,18693904,373291790,2058153,26950962,4150826,154644984,1492679,76276554,135715760,3386671108,209040096,7295335619,13705575,200282275,2092673,127694022,2658147,78368430,1492679,76276554
"376.kdtree","12","ixe-detail","0x402810","n/a","n/a","ExplTaskRegion5",9.2416,46.1955,1097336276,5559931156,2667686384,12217415433,123498577,569149925,48222299,261958880,134086989,671441143,8305051,45573783,57253072,291793728,28152557,142057985,1097336276,5559931156,2544187807,11648265508,74550556,322929980,48948021,246219945,29100515,149735743,28152557,142057985
"376.kdtree","12","ixe-detail","0x402928","n/a","n/a","ExplTaskRegion6",11.181,61.5259,1196168926,7060740801,3136974384,16185672034,129385864,727517623,55329498,349028641,145672418,875580376,10233524,65939712,61783979,375843697,30766813,182646522,1196168926,7060740801,3007588520,15458154411,77835409,417613638,51550455,309903985,31017166,193197175,30766813,182646522
