"application","config","numthreads","output_type","wtime"
"350.md","base-none","12","profiler",1.022491e+01
"350.md","tsan-noread-none","12","profiler",4.080110e+01
"350.md","archer-noread-none","12","profiler",3.688674e+01
"350.md","tsan-sampling-none","12","profiler",3.904615e+01
"350.md","archer-sampling-none","12","profiler",3.906930e+01
"350.md","tsan-none","12","profiler",3.651578e+01
"350.md","archer-none","12","profiler",3.010618e+01
"350.md","base-profiler","12","profiler",1.030229e+01
"350.md","tsan-noread-profiler","12","profiler",4.094653e+01
"350.md","archer-noread-profiler","12","profiler",3.702081e+01
"350.md","tsan-sampling-profiler","12","profiler",4.095514e+01
"350.md","archer-sampling-profiler","12","profiler",3.694505e+01
"350.md","tsan-profiler","12","profiler",3.725887e+01
"350.md","archer-profiler","12","profiler",3.035431e+01

