"application","config","numthreads","output_type","wtime"
"371.applu331","base-none","12","profiler",7.826639e+00
"371.applu331","ixe-base-none","12","profiler",2.273782e+02
"371.applu331","ixe-detail-none","12","profiler",2.370783e+03
"371.applu331","archer-noread-none","12","profiler",9.060198e+01
"371.applu331","base-profiler","12","profiler",7.990782e+00
"371.applu331","ixe-base-profiler","12","profiler",2.347764e+02
"371.applu331","ixe-detail-profiler","12","profiler",2.402428e+03
"371.applu331","archer-noread-profiler","12","profiler",9.034483e+01

