"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"363.swim","24","tsan","(nil)","n/a","n/a","ImplTaskRegion1",0.879374,46.6779,747492106,33702898489,1155317262,74796515165,29218274,2687716771,17619673,23819631,37616093,1819808339,2756148,7869490,31219836,2432074966,30062063,2212720977,747492106,33702898489,921571070,53294780997,6036688,2108090360,227709504,19393643808,9262184,1754831912,240496504,17701767816
"363.swim","24","tsan","0x4c5244","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","215","ImplTaskRegion2",2.37861,2.37861,125326245,125326245,294195656,294195656,4048883,4048883,2041564,2041564,5216825,5216825,99226,99226,2890856,2890856,1161297,1161297,125326245,125326245,261804592,261804592,10058024,10058024,22333040,22333040,13836472,13836472,9290376,9290376
"363.swim","24","tsan","0x4c5277","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","225","ImplTaskRegion3",2.18089,2.18089,82915638,82915638,189951023,189951023,7466740,7466740,211955,211955,5776180,5776180,20734,20734,5218838,5218838,3435300,3435300,82915638,82915638,130217103,130217103,18149088,18149088,41584832,41584832,14268304,14268304,27482400,27482400
"363.swim","24","tsan","0x4c52a8","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","236","ImplTaskRegion4",0.0116878,0.0116878,604692,604692,2966089,2966089,31328,31328,9050,9050,35952,35952,3411,3411,28325,28325,24471,24471,604692,604692,2715465,2715465,51312,51312,199312,199312,30832,30832,195768,195768
"363.swim","24","tsan","0x4c5630","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","246","ImplTaskRegion5",3.28779,3.28779,112296336,112296336,250720330,250720330,11791423,11791423,225053,225053,9061504,9061504,21674,21674,10889230,10889230,7974275,7974275,112296336,112296336,156388946,156388946,7390936,7390936,86940448,86940448,23319640,23319640,63794200,63794200
"363.swim","24","tsan","0x4c4af8","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","255","ImplTaskRegion6",247.941,247.941,182058885858,182058885858,458722028906,458722028906,15355469270,15355469270,15878432,15878432,12433446173,12433446173,12801100,12801100,11414340837,11414340837,11251311077,11251311077,182058885858,182058885858,335878274746,335878274746,31631436264,31631436264,91212317896,91212317896,1304238080,1304238080,90010488616,90010488616
"363.swim","24","tsan","0x4c4b29","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","298","ImplTaskRegion7",4.25739,4.25739,251689607,251689607,1113259110,1113259110,41387453,41387453,4004947,4004947,40386721,40386721,1792720,1792720,39646057,39646057,37788199,37788199,251689607,251689607,782159486,782159486,28272928,28272928,302826696,302826696,14862864,14862864,302305592,302305592
"363.swim","24","tsan","0x4c4838","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","313","ImplTaskRegion8",314.215,314.215,195670338495,195670338495,489525630321,489525630321,21530300409,21530300409,21244329,21244329,15486103016,15486103016,18545595,18545595,18269263581,18269263581,16388390949,16388390949,195670338495,195670338495,317283227049,317283227049,26236659384,26236659384,146005743888,146005743888,15046981056,15046981056,131107127592,131107127592
"363.swim","24","tsan","0x4c4869","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","357","ImplTaskRegion9",11.5659,11.5659,631339927,631339927,3138263636,3138263636,30197749,30197749,4595541,4595541,33004658,33004658,2036481,2036481,28979932,28979932,27446355,27446355,631339927,631339927,2896681644,2896681644,26034384,26034384,215547608,215547608,12268616,12268616,219570840,219570840
"363.swim","24","tsan","0x4c5d5f","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","124","ImplTaskRegion10",93.6174,93.6174,39164166855,39164166855,110553156423,110553156423,4594250657,4594250657,10508834,10508834,2560740213,2560740213,8940961,8940961,4749766023,4749766023,4706382190,4706382190,39164166855,39164166855,73799151167,73799151167,-1172595240,-1172595240,37926600496,37926600496,347070664,347070664,37651057520,37651057520
"363.swim","24","tsan","0x4c5a8f","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","389","ImplTaskRegion11",0.459461,0.459461,195487843,195487843,457755622,457755622,17482494,17482494,15446,15446,13285928,13285928,13399,13399,17820401,17820401,17689317,17689317,195487843,195487843,317895670,317895670,-2596064,-2596064,142456016,142456016,1048672,1048672,141514536,141514536
"363.swim","24","tsan","0x4c4359","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","423","ImplTaskRegion12",432.037,432.037,197456261861,197456261861,493170600919,493170600919,14004915060,14004915060,12623591,12623591,9145557808,9145557808,11569046,11569046,14289220132,14289220132,14159515588,14159515588,197456261861,197456261861,381131280439,381131280439,-2181888208,-2181888208,114221208688,114221208688,1037636352,1037636352,113276124704,113276124704
"363.swim","24","tsan","0x4c438a","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_tsan-profiler.0000/swim.f","443","ImplTaskRegion13",5.62788,5.62788,358347053,358347053,1598289253,1598289253,60951403,60951403,5037195,5037195,58962172,58962172,2680533,2680533,59370282,59370282,56829389,56829389,358347053,358347053,1110678029,1110678029,34093232,34093232,453517992,453517992,20327144,20327144,454635112,454635112
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"363.swim","24","archer-sampling","(nil)","n/a","n/a","ImplTaskRegion1",0.912468,61.4913,611662950,43080929546,1038608986,87339693736,29719211,2650169951,22139505,29049762,43048602,1876491295,2792512,7876930,31636556,2409383776,31363682,2283164650,611662950,43080929546,800855298,66138334128,7001336,1989304840,230752352,19212054768,2182992,1009753008,250909456,18265317200
"363.swim","24","archer-sampling","0x4c6974","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_archer-sampling-profiler.0000/swim.f","215","ImplTaskRegion2",2.42039,2.42039,144025697,144025697,320891039,320891039,4320741,4320741,2077037,2077037,5522616,5522616,98345,98345,2877834,2877834,1163519,1163519,144025697,144025697,286325111,286325111,12330016,12330016,22235912,22235912,13714520,13714520,9308152,9308152
"363.swim","24","archer-sampling","0x4c69a7","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_archer-sampling-profiler.0000/swim.f","225","ImplTaskRegion3",2.19165,2.19165,121490586,121490586,247962875,247962875,8059490,8059490,350358,350358,5081200,5081200,29555,29555,5733189,5733189,3828969,3828969,121490586,121490586,183486955,183486955,18846848,18846848,45629072,45629072,15233760,15233760,30631752,30631752
"363.swim","24","archer-sampling","0x4c69d8","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_archer-sampling-profiler.0000/swim.f","236","ImplTaskRegion4",0.0116599,0.0116599,629843,629843,2970339,2970339,35960,35960,14620,14620,43728,43728,5041,5041,33108,33108,27894,27894,629843,629843,2682659,2682659,63144,63144,224536,224536,41712,41712,223152,223152
"363.swim","24","archer-sampling","0x4c6d60","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_archer-sampling-profiler.0000/swim.f","246","ImplTaskRegion5",3.32404,3.32404,184107790,184107790,369682034,369682034,13159461,13159461,259359,259359,9314666,9314666,27291,27291,12137241,12137241,9081266,9081266,184107790,184107790,264406346,264406346,8396088,8396088,96879600,96879600,24447800,24447800,72650128,72650128
"363.swim","24","archer-sampling","0x4c6228","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_archer-sampling-profiler.0000/swim.f","255","ImplTaskRegion6",367.948,367.948,291500903361,291500903361,590714925086,590714925086,16712531399,16712531399,24547317,24547317,12676630573,12676630573,19790710,19790710,12959099519,12959099519,12313455275,12313455275,291500903361,291500903361,457014673894,457014673894,30185780720,30185780720,103514470472,103514470472,5165153952,5165153952,98507642200,98507642200
"363.swim","24","archer-sampling","0x4c6259","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/363.swim/build/build_base_archer-sampling-profiler.0000/swim.f","298","ImplTaskRegion7",4.98549,4.98549,311111890,311111890,1206940402,1206940402,48622988,48622988,7185131,7185131,45847255,45847255,2486913,2486913,46620612,46620612,43707430,43707430,311111890,311111890,817956498,817956498,35914312,35914312,353069592,353069592,23305456,23305456,349659440,349659440
