"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"351.bwaves","24","tsan","(nil)","n/a","n/a","ImplTaskRegion1",8.74614,593.565,1105995,46096624467,4243811506,119730512524,381411,6310336889,385693,20404557,700473,4762568198,264158,3018723,542363,8775384282,463281,5966651685,1105995,46096624467,4240760218,69247817412,825648,-19696229360,2225640,70178924472,632656,22469860776,3706248,47733213480
"351.bwaves","24","tsan","0x4d8b7c","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/shell_lam.fppized.f","56","ImplTaskRegion2",203.718,203.718,4880361389,4880361389,9887223856,9887223856,670740819,670740819,14625611,14625611,548532246,548532246,728466,728466,446730306,446730306,154579744,154579744,4880361389,4880361389,4521297304,4521297304,1797911832,1797911832,3568014720,3568014720,2337204496,2337204496,1236637952,1236637952
"351.bwaves","24","tsan","0x4d8d43","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/shell_lam.fppized.f","79","ImplTaskRegion3",5.2347,5.2347,119082439,119082439,264847973,264847973,5232155,5232155,218596,218596,4610328,4610328,25498,25498,4573521,4573521,3591751,3591751,119082439,119082439,222990733,222990733,5473056,5473056,36384184,36384184,7854160,7854160,28734008,28734008
"351.bwaves","24","tsan","0x4d8ebd","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/shell_lam.fppized.f","112","ImplTaskRegion4",4.96886,4.96886,107012312,107012312,221418001,221418001,5117135,5117135,401870,401870,4699508,4699508,18758,18758,4499650,4499650,3543293,3543293,107012312,107012312,180480921,180480921,5089944,5089944,35847136,35847136,7650856,7650856,28346344,28346344
"351.bwaves","24","tsan","0x4daadc","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/shell_lam.fppized.f","134","ImplTaskRegion5",0.00739741,0.00739741,1356827,1356827,3992435,3992435,169862,169862,9172,9172,50069,50069,5411,5411,224448,224448,212938,212938,1356827,1356827,2633539,2633539,-393400,-393400,1752296,1752296,92080,92080,1703504,1703504
"351.bwaves","24","tsan","0x4dbcfd","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/fill2.fppized.f","14","ImplTaskRegion6",0.24893,0.24893,68196735,68196735,108500320,108500320,3331456,3331456,133436,133436,2242293,2242293,85442,85442,3192700,3192700,2895402,2895402,68196735,68196735,81848672,81848672,1793584,1793584,24858064,24858064,2378384,2378384,23163216,23163216
"351.bwaves","24","tsan","0x4dbd8a","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/fill2.fppized.f","25","ImplTaskRegion7",0.21412,0.21412,67393872,67393872,107498345,107498345,3154032,3154032,103707,103707,2076140,2076140,62952,62952,3153088,3153088,2834059,2834059,67393872,67393872,82266089,82266089,511168,511168,24721088,24721088,2552232,2552232,22672472,22672472
"351.bwaves","24","tsan","0x4d9622","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/shell_lam.fppized.f","190","ImplTaskRegion8",1.78547,1.78547,811622903,811622903,2436887870,2436887870,95452541,95452541,199341,199341,2889527,2889527,182935,182935,97574821,97574821,95322098,95322098,811622903,811622903,1673267542,1673267542,-15514760,-15514760,779135088,779135088,18021784,18021784,762576784,762576784
"351.bwaves","24","tsan","0x4d2953","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/jacobian_lam.fppized.f","37","ImplTaskRegion9",1006.04,1006.04,70768871165,70768871165,159181602787,159181602787,5469737600,5469737600,118052161,118052161,2737655577,2737655577,4416930,4416930,9023931400,9023931400,6034327510,6034327510,70768871165,70768871165,115423701987,115423701987,-28398214960,-28398214960,72156115760,72156115760,23916831120,23916831120,48274620080,48274620080
"351.bwaves","24","tsan","0x4d9f01","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/351.bwaves/build/build_base_tsan-profiler.0000/shell_lam.fppized.f","231","ImplTaskRegion10",10625.5,10625.5,429000912515,429000912515,924993401367,924993401367,74849181170,74849181170,174588350,174588350,63960505465,63960505465,18522822,18522822,153496872607,153496872607,80411761896,80411761896,429000912515,429000912515,326199952007,326199952007,-629033348920,-629033348920,1227826798280,1227826798280,584680885688,584680885688,643294095168,643294095168
