"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"372.smithwa","24","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",0.866146,90.0076,501223512,94155027151,692618108,114507475491,34839871,4393631954,54473528,124781958,86056204,2372929655,12406557,25507750,19923950,162028353,13840292,104652918,501223512,94155027151,657778237,110113843537,27322478,4257111351,7517393,136520603,6083658,57375435,13840292,104652918
"372.smithwa","24","ixe-base","0x4030fc","n/a","n/a","ImplTaskRegion2",6.46454,6.46454,2524406472,2524406472,4288885013,4288885013,56298079,56298079,29385382,29385382,67074400,67074400,6632421,6632421,14497151,14497151,9495985,9495985,2524406472,2524406472,4232586934,4232586934,48433349,48433349,7864730,7864730,5001166,5001166,9495985,9495985
"372.smithwa","24","ixe-base","0x403db5","n/a","n/a","ImplTaskRegion3",1489.47,1489.47,2162479713387,2162479713387,2586304436348,2586304436348,101002212981,101002212981,446637290,446637290,52735476942,52735476942,23787848,23787848,1526445225,1526445225,584966378,584966378,2162479713387,2162479713387,2485302223367,2485302223367,99499555604,99499555604,1502657377,1502657377,941478847,941478847,584966378,584966378
"372.smithwa","24","ixe-base","0x40787b","n/a","n/a","ImplTaskRegion4",463.256,463.256,16485512075,16485512075,30918616414,30918616414,1298599702,1298599702,56241866,56241866,1232611162,1232611162,18938739,18938739,1385375224,1385375224,681071348,681071348,16485512075,16485512075,29620016712,29620016712,-67836783,-67836783,1366436485,1366436485,704303876,704303876,681071348,681071348
"372.smithwa","24","ixe-base","0x40b3f5","n/a","n/a","ImplTaskRegion5",15.5764,15.5764,3040891768,3040891768,8748421520,8748421520,78871658,78871658,21942267,21942267,67538611,67538611,3817605,3817605,40889137,40889137,22513989,22513989,3040891768,3040891768,8669549862,8669549862,41800126,41800126,37071532,37071532,18375148,18375148,22513989,22513989
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"372.smithwa","24","base","(nil)","n/a","n/a","ImplTaskRegion1",0.00581789,3.12049,175126,3610903802,343599,10821093804,22065,192798937,25568,62086,38866,5647451,21860,34215,38740,292721,21526,39137,175126,3610903802,321534,10628294867,5185,192540431,16880,258506,17214,253584,21526,39137
"372.smithwa","24","base","0x4023b5","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/372.smithwa/build/build_base_base-profiler.0000/verifyData.c","46","ImplTaskRegion2",0.0068481,0.0068481,93343,93343,124025,124025,13144,13144,33641,33641,45677,45677,15090,15090,21367,21367,12214,12214,93343,93343,110881,110881,6867,6867,6277,6277,9153,9153,12214,12214
"372.smithwa","24","base","0x402cbc","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/372.smithwa/build/build_base_base-profiler.0000/pairwiseAlign.c","394","ImplTaskRegion3",73.7639,73.7639,86427343087,86427343087,259268877638,259268877638,4598002179,4598002179,211105,211105,105531299,105531299,22314,22314,315444,315444,39302,39302,86427343087,86427343087,254670875459,254670875459,4597709049,4597709049,293130,293130,276142,276142,39302,39302
