"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"362.fma3d","24","tsan","(nil)","n/a","n/a","ImplTaskRegion1",20.0933,76.2864,19620438082,34240081651,30501182105,64546993332,1112500897,2085353109,736656881,1203150630,1284227430,2340405224,1933159,5363351,1182341931,2887511843,866764913,1383161612,19620438082,34240081651,21601174929,47864168460,-543263000,-6374363064,9443270176,23057187936,2524616144,12034801848,6934119304,11065292896
"362.fma3d","24","tsan","0x5e4d88","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","866","ImplTaskRegion2",0.0761468,0.0761468,4366200,4366200,13925214,13925214,58253,58253,60698,60698,110242,110242,19028,19028,43265,43265,18441,18441,4366200,4366200,13459190,13459190,272128,272128,193896,193896,198592,198592,147528,147528
"362.fma3d","24","tsan","0x5e56f2","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","967","ImplTaskRegion3",0.000659227,0.000659227,47605,47605,180401,180401,4238,4238,7672,7672,11416,11416,1239,1239,2808,2808,1477,1477,47605,47605,146497,146497,21352,21352,12552,12552,10648,10648,11816,11816
"362.fma3d","24","tsan","0x5e5716","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","985","ImplTaskRegion4",0.0555677,0.0555677,3180709,3180709,16610214,16610214,4510,4510,7975,7975,11918,11918,481,481,1806,1806,872,872,3180709,3180709,16574134,16574134,25480,25480,10600,10600,7472,7472,6976,6976
"362.fma3d","24","tsan","0x5e647b","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","124","ImplTaskRegion5",32.9383,32.9383,263833088,263833088,1382209271,1382209271,53888,53888,50679,50679,89283,89283,28427,28427,42690,42690,21624,21624,263833088,263833088,1381778167,1381778167,317000,317000,114104,114104,168528,168528,172992,172992
"362.fma3d","24","tsan","0x5e6724","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","150","ImplTaskRegion6",0.0179124,0.0179124,1051132,1051132,5254745,5254745,9381,9381,18284,18284,24980,24980,6987,6987,12823,12823,6394,6394,1051132,1051132,5179697,5179697,28360,28360,46688,46688,51432,51432,51152,51152
"362.fma3d","24","tsan","0x5c5f85","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1621","ImplTaskRegion7",0.00164199,0.00164199,107381,107381,500923,500923,3505,3505,7690,7690,10846,10846,1516,1516,2213,2213,1147,1147,107381,107381,472883,472883,22464,22464,5576,5576,8528,8528,9176,9176
"362.fma3d","24","tsan","0x5c60a0","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1638","ImplTaskRegion8",0.00159454,0.00159454,104555,104555,482799,482799,3370,3370,7654,7654,10735,10735,981,981,1504,1504,753,753,104555,104555,455839,455839,22776,22776,4184,4184,6008,6008,6024,6024
"362.fma3d","24","tsan","0x5c64f7","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1694","ImplTaskRegion9",0.00211287,0.00211287,130608,130608,616365,616365,3606,3606,7391,7391,10659,10659,460,460,857,857,421,421,130608,130608,587517,587517,25672,25672,3176,3176,3488,3488,3368,3368
"362.fma3d","24","tsan","0x5c6626","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1739","ImplTaskRegion10",0.00325775,0.00325775,199811,199811,981035,981035,3477,3477,7426,7426,10613,10613,366,366,662,662,302,302,199811,199811,953219,953219,25448,25448,2368,2368,2880,2880,2416,2416
"362.fma3d","24","tsan","0x5c6b88","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1805","ImplTaskRegion11",0.00300741,0.00300741,187656,187656,912513,912513,3119,3119,7062,7062,9904,9904,776,776,1313,1313,640,640,187656,187656,887561,887561,20656,20656,4296,4296,5384,5384,5120,5120
"362.fma3d","24","tsan","0x5c786a","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1977","ImplTaskRegion12",0.00197911,0.00197911,154040,154040,649423,649423,6028,6028,6996,6996,11815,11815,681,681,3827,3827,799,799,154040,154040,601199,601199,23056,23056,25168,25168,24224,24224,6392,6392
"362.fma3d","24","tsan","0x5c7984","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","1992","ImplTaskRegion13",0.00159526,0.00159526,97242,97242,440869,440869,3655,3655,7746,7746,11087,11087,308,308,811,811,370,370,97242,97242,411629,411629,25216,25216,4024,4024,3528,3528,2960,2960
"362.fma3d","24","tsan","0x5c7a9e","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","2003","ImplTaskRegion14",0.00572896,0.00572896,335980,335980,1696212,1696212,3031,3031,6667,6667,9419,9419,283,283,590,590,286,286,335980,335980,1671964,1671964,21792,21792,2456,2456,2432,2432,2288,2288
"362.fma3d","24","tsan","0x5c7ed8","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","2042","ImplTaskRegion15",1.52302,1.52302,36712370,36712370,72741279,72741279,2430765,2430765,156635,156635,1563110,1563110,14515,14515,2165323,2165323,727510,727510,36712370,36712370,53295159,53295159,2239656,2239656,17206464,17206464,11502504,11502504,5820080,5820080
"362.fma3d","24","tsan","0x5c88a4","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","2173","ImplTaskRegion16",1.4702,1.4702,36809125,36809125,71471511,71471511,1636784,1636784,298662,298662,1685780,1685780,14113,14113,1441911,1441911,1140935,1140935,36809125,36809125,58377239,58377239,1671888,1671888,11422384,11422384,2407808,2407808,9127480,9127480
"362.fma3d","24","tsan","0x5c8f9b","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/362.fma3d/build/build_base_tsan-profiler.0000/fma1.f90","2251","ImplTaskRegion17",175.759,175.759,265816881,265816881,1386640540,1386640540,125712,125712,63422,63422,162094,162094,42999,42999,124168,124168,65916,65916,265816881,265816881,1385634844,1385634844,356344,356344,649352,649352,466016,466016,527328,527328
