"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"350.md","24","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",2.77798,79.9389,1652950928,95080613423,2302319630,121398964665,115920451,3554406599,189792270,323671582,282088411,2600823858,27963696,43430092,47628128,293248424,21224415,149388623,1652950928,95080613423,2186399179,117844558066,96256019,3304588267,19664432,249818332,26403713,143859801,21224415,149388623
"350.md","24","ixe-base","0x41ba09","n/a","n/a","ImplTaskRegion2",143.264,143.264,192594296854,192594296854,241125080494,241125080494,6992674104,6992674104,172444420,172444420,4495202820,4495202820,20269448,20269448,453815873,453815873,227528394,227528394,192594296854,192594296854,234132406390,234132406390,6559127679,6559127679,433546425,433546425,226287479,226287479,227528394,227528394
"350.md","24","ixe-base","0x41c0ef","n/a","n/a","ImplTaskRegion3",1481.34,1481.34,1832587261673,1832587261673,2349815062410,2349815062410,68445512930,68445512930,1790718111,1790718111,46062931216,46062931216,85514713,85514713,4563463330,4563463330,2260883132,2260883132,1832587261673,1832587261673,2281369549480,2281369549480,63967564313,63967564313,4477948617,4477948617,2302580198,2302580198,2260883132,2260883132
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"350.md","24","base","(nil)","n/a","n/a","ImplTaskRegion1",0.025604,6.01448,5710796,2869093282,16226012,6520558001,955634,79377280,74943,369846,309799,24216649,50524,90920,554059,735442,181709,270964,5710796,2869093282,15270378,6441180721,452099,78732758,503535,644522,372350,464478,181709,270964
"350.md","24","base","0x4158ce","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/350.md/build/build_base_base-profiler.0000/int_ion_mix_direct.f","55","ImplTaskRegion2",12.5057,12.5057,4844484601,4844484601,12269567137,12269567137,180598654,180598654,477096,477096,30807099,30807099,37712,37712,188374,188374,99311,99311,4844484601,4844484601,12088968483,12088968483,180447992,180447992,150662,150662,89063,89063,99311,99311
"350.md","24","base","0x4159c1","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/350.md/build/build_base_base-profiler.0000/int_ion_mix_direct.f","102","ImplTaskRegion3",118.501,118.501,59178907886,59178907886,131801664980,131801664980,1531076532,1531076532,4442035,4442035,518639146,518639146,61266,61266,2747622,2747622,1325204,1325204,59178907886,59178907886,130270588448,130270588448,1528390176,1528390176,2686356,2686356,1422418,1422418,1325204,1325204
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"350.md","24","ixe-detail","(nil)","n/a","n/a","ImplTaskRegion1",3.65256,1812.26,3093447176,866266479021,4890355919,3467359139871,196374754,61360676903,185518778,3132508195,312432562,41592306640,27295908,50366740,61738709,9379923411,29189372,5336031528,3093447176,866266479021,4693981165,3405998462968,161931953,52031120232,34442801,9329556671,32549337,4043891883,29189372,5336031528
