"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"352.nab","24","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",24.8802,126.732,26759381914,103251272160,29521336468,151996580313,796002766,4132385626,263526159,766269144,622744999,2706196336,68206771,198115088,145775911,661102518,56513754,318423678,26759381914,103251272160,28725333702,147864194687,718433626,3669398196,77569140,462987430,89262157,342678840,56513754,318423678
"352.nab","24","ixe-base","0x412e09","n/a","n/a","ImplTaskRegion2",374.998,374.998,161248201741,161248201741,204647235719,204647235719,5473704629,5473704629,594717975,594717975,3667654235,3667654235,72174119,72174119,919181072,919181072,454460868,454460868,161248201741,161248201741,199173531090,199173531090,4626697676,4626697676,847006953,847006953,464720204,464720204,454460868,454460868
"352.nab","24","ixe-base","0x406ac0","n/a","n/a","ImplTaskRegion3",4.29272,4.29272,3802487773,3802487773,4585163314,4585163314,212499864,212499864,43910519,43910519,136211879,136211879,24857279,24857279,53623045,53623045,21125903,21125903,3802487773,3802487773,4372663450,4372663450,183734098,183734098,28765766,28765766,32497142,32497142,21125903,21125903
"352.nab","24","ixe-base","0x409325","n/a","n/a","ImplTaskRegion4",215.39,215.39,176077571240,176077571240,363218353151,363218353151,7101913820,7101913820,593904232,593904232,3783857644,3783857644,118955449,118955449,661395475,661395475,319624461,319624461,176077571240,176077571240,356116439331,356116439331,6559473794,6559473794,542440026,542440026,341771014,341771014,319624461,319624461
"352.nab","24","ixe-base","0x409413","n/a","n/a","ImplTaskRegion5",550.316,550.316,602242630004,602242630004,814097689001,814097689001,26690186629,26690186629,1596605014,1596605014,14627675977,14627675977,198689887,198689887,1756842951,1756842951,854488055,854488055,602242630004,602242630004,787407502372,787407502372,25132033565,25132033565,1558153064,1558153064,902354896,902354896,854488055,854488055
"352.nab","24","ixe-base","0x409524","n/a","n/a","ImplTaskRegion6",473.87,473.87,402358230311,402358230311,814159011399,814159011399,16011105506,16011105506,1035265671,1035265671,8462286285,8462286285,196253046,196253046,1282266719,1282266719,623050871,623050871,402358230311,402358230311,798147905893,798147905893,14925091833,14925091833,1086013673,1086013673,659215848,659215848,623050871,623050871
"352.nab","24","ixe-base","0x406a2d","n/a","n/a","ImplTaskRegion7",236.034,236.034,203213238820,203213238820,269767051198,269767051198,8354563556,8354563556,828514737,828514737,4069197226,4069197226,189236024,189236024,991099932,991099932,479185574,479185574,203213238820,203213238820,261412487642,261412487642,7552699648,7552699648,801863908,801863908,511914358,511914358,479185574,479185574
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"352.nab","24","base","(nil)","n/a","n/a","ImplTaskRegion1",0.981714,6.66718,468670359,2245007882,1100558248,10210151649,29836351,154579199,2272497,9603939,20269016,82598538,354460,743998,4597009,15519506,1573765,6183852,468670359,2245007882,1070721897,10055572450,25593802,139803691,4242549,14775508,3023244,9335654,1573765,6183852
"352.nab","24","base","0x40b8a5","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/352.nab/build/build_base_base-profiler.0000/nblist.c","889","ImplTaskRegion2",6.95167,6.95167,3999854920,3999854920,9786360445,9786360445,173448848,173448848,3393123,3393123,158287406,158287406,150281,150281,19541823,19541823,8025713,8025713,3999854920,3999854920,9612911597,9612911597,154057306,154057306,19391542,19391542,11516110,11516110,8025713,8025713
