"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"370.mgrid331","12","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",9.07376,170.302,7558742714,143631809369,18664053212,212040436787,398716225,19261230753,210627361,744735667,591821906,4344439379,67590336,217374179,95398590,2082873806,33868174,1344751854,7558742714,143631809369,18265336987,192779206034,370907971,17395731126,27808254,1865499627,61530416,738121952,33868174,1344751854
"370.mgrid331","12","ixe-base","0x404ea0","n/a","n/a","ImplTaskRegion2",5.76298,5.76298,2099284163,2099284163,2979790950,2979790950,105149531,105149531,30009983,30009983,88279374,88279374,6995921,6995921,35052429,35052429,23600328,23600328,2099284163,2099284163,2874641419,2874641419,77093023,77093023,28056508,28056508,11452101,11452101,23600328,23600328
"370.mgrid331","12","ixe-base","0x413a94","n/a","n/a","ImplTaskRegion3",2.33996,2.33996,538112482,538112482,784087809,784087809,110365041,110365041,4785992,4785992,51114722,51114722,1322170,1322170,27503300,27503300,17036295,17036295,538112482,538112482,673722768,673722768,84183911,84183911,26181130,26181130,10467005,10467005,17036295,17036295
"370.mgrid331","12","ixe-base","0x413d13","n/a","n/a","ImplTaskRegion4",5.38369,5.38369,1726282528,1726282528,2543473158,2543473158,188011442,188011442,2921815,2921815,62968218,62968218,748086,748086,52604284,52604284,31758511,31758511,1726282528,1726282528,2355461716,2355461716,136155244,136155244,51856198,51856198,20845773,20845773,31758511,31758511
"370.mgrid331","12","ixe-base","0x413e1c","n/a","n/a","ImplTaskRegion5",4.69378,4.69378,4497679841,4497679841,7500960193,7500960193,189946749,189946749,20485416,20485416,62023361,62023361,2839267,2839267,33013916,33013916,22686578,22686578,4497679841,4497679841,7311013444,7311013444,159772100,159772100,30174649,30174649,10327338,10327338,22686578,22686578
"370.mgrid331","12","ixe-base","0x413ef3","n/a","n/a","ImplTaskRegion6",0.734168,0.734168,334768276,334768276,557163397,557163397,97651689,97651689,2159715,2159715,36757290,36757290,863796,863796,12461667,12461667,11075629,11075629,334768276,334768276,459511708,459511708,86053818,86053818,11597871,11597871,1386038,1386038,11075629,11075629
"370.mgrid331","12","ixe-base","0x4087d9","n/a","n/a","ImplTaskRegion7",22.3707,22.3707,11467368637,11467368637,17496868446,17496868446,1924160519,1924160519,601347688,601347688,1081102459,1081102459,126459746,126459746,524408026,524408026,385606068,385606068,11467368637,11467368637,15572707927,15572707927,1526212239,1526212239,397948280,397948280,138801958,138801958,385606068,385606068
"370.mgrid331","12","ixe-base","0x412a3e","n/a","n/a","ImplTaskRegion8",1.36185,1.36185,608273823,608273823,1177195873,1177195873,143928415,143928415,2489598,2489598,14919844,14919844,998953,998953,14576327,14576327,12693966,12693966,608273823,608273823,1033267458,1033267458,130351041,130351041,13577374,13577374,1882361,1882361,12693966,12693966
"370.mgrid331","12","ixe-base","0x40747e","n/a","n/a","ImplTaskRegion9",981.981,981.981,781781433710,781781433710,1156335932408,1156335932408,125552775082,125552775082,446608728,446608728,20485814291,20485814291,236800283,236800283,11692295002,11692295002,8066705740,8066705740,781781433710,781781433710,1030783157326,1030783157326,114097280363,114097280363,11455494719,11455494719,3625589262,3625589262,8066705740,8066705740
"370.mgrid331","12","ixe-base","0x410bba","n/a","n/a","ImplTaskRegion10",185.772,185.772,173598715915,173598715915,219493430257,219493430257,17799289793,17799289793,563255973,563255973,3914346296,3914346296,81851642,81851642,2174538083,2174538083,1628377487,1628377487,173598715915,173598715915,201694140464,201694140464,15706603352,15706603352,2092686441,2092686441,546160596,546160596,1628377487,1628377487
"370.mgrid331","12","ixe-base","0x40969c","n/a","n/a","ImplTaskRegion11",0.217558,0.217558,98284777,98284777,118689637,118689637,6705299,6705299,16039398,16039398,21501746,21501746,2455154,2455154,4834180,4834180,2349276,2349276,98284777,98284777,111984338,111984338,4326273,4326273,2379026,2379026,2484904,2484904,2349276,2349276
