"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"352.nab","48","ixe-base","(nil)","n/a","n/a","ImplTaskRegion1",28.206,179.769,26735596759,79351988359,29539030740,157074245023,791809296,3169756997,333366900,876606852,693096299,2358958795,68592490,198709493,148528596,767694574,50650604,373503986,26735596759,79351988359,28747221444,153904488026,711873190,2600771916,79936106,568985081,97877992,394190588,50650604,373503986
"352.nab","48","ixe-base","0x412e09","n/a","n/a","ImplTaskRegion2",783.26,783.26,163342288889,163342288889,212091912504,212091912504,5652119896,5652119896,701320612,701320612,3920632559,3920632559,128442214,128442214,1171987158,1171987158,707022862,707022862,163342288889,163342288889,206439792608,206439792608,4608574952,4608574952,1043544944,1043544944,464964296,464964296,707022862,707022862
"352.nab","48","ixe-base","0x406ac0","n/a","n/a","ImplTaskRegion3",6.05607,6.05607,3796877613,3796877613,4574084353,4574084353,211714769,211714769,44297479,44297479,134978391,134978391,24767067,24767067,54556905,54556905,19425084,19425084,3796877613,3796877613,4362369584,4362369584,181924931,181924931,29789838,29789838,35131821,35131821,19425084,19425084
"352.nab","48","ixe-base","0x409325","n/a","n/a","ImplTaskRegion4",410.684,410.684,177761381672,177761381672,695559514619,695559514619,7388557089,7388557089,907547566,907547566,4286919927,4286919927,190682176,190682176,1194812249,1194812249,693249482,693249482,177761381672,177761381672,688170957530,688170957530,6384427016,6384427016,1004130073,1004130073,501562767,501562767,693249482,693249482
"352.nab","48","ixe-base","0x409413","n/a","n/a","ImplTaskRegion5",1062.98,1062.98,607095106062,607095106062,1611480388743,1611480388743,27558840110,27558840110,2537035119,2537035119,16102919270,16102919270,316749202,316749202,2781529322,2781529322,1708615552,1708615552,607095106062,607095106062,1583921548633,1583921548633,25094059990,25094059990,2464780120,2464780120,1072913770,1072913770,1708615552,1708615552
"352.nab","48","ixe-base","0x409524","n/a","n/a","ImplTaskRegion6",902.596,902.596,403943798351,403943798351,1596952783696,1596952783696,16576023823,16576023823,1502994701,1502994701,9233237308,9233237308,313387714,313387714,2312996034,2312996034,1374229613,1374229613,403943798351,403943798351,1580376759873,1580376759873,14576415503,14576415503,1999608320,1999608320,938766421,938766421,1374229613,1374229613
"352.nab","48","ixe-base","0x406a2d","n/a","n/a","ImplTaskRegion7",549.868,549.868,208028300677,208028300677,390301835794,390301835794,8823201049,8823201049,1406390100,1406390100,4971538380,4971538380,326937407,326937407,1758320983,1758320983,998788996,998788996,208028300677,208028300677,381478634745,381478634745,7391817473,7391817473,1431383576,1431383576,759531987,759531987,998788996,998788996
"App","numthreads","variant","Codeptr","Filename","Codeline","Region","Time_Exclusive","Time_Inclusive","MEM_INST_RETIRED:ALL_STORES_excl","MEM_INST_RETIRED:ALL_STORES_incl","MEM_INST_RETIRED:ALL_LOADS_excl","MEM_INST_RETIRED:ALL_LOADS_incl","L1D:REPLACEMENT_excl","L1D:REPLACEMENT_incl","L2_RQSTS:ALL_CODE_RD_excl","L2_RQSTS:ALL_CODE_RD_incl","L2_RQSTS:ALL_DEMAND_REFERENCES_excl","L2_RQSTS:ALL_DEMAND_REFERENCES_incl","L2_RQSTS:CODE_RD_MISS_excl","L2_RQSTS:CODE_RD_MISS_incl","LLC_REFERENCES_excl","LLC_REFERENCES_incl","LLC_MISSES_excl","LLC_MISSES_incl","L1D_W_A = L1D_W_H_excl","L1D_W_A = L1D_W_H_incl","L1D_R_H_excl","L1D_R_H_incl","L2D_H_excl","L2D_H_incl","L3D_A_excl","L3D_A_incl","L3_H_excl","L3_H_incl","MEM_excl","MEM_incl"
"352.nab","48","base","(nil)","n/a","n/a","ImplTaskRegion1",0.990181,4.57312,468680961,1484565715,1100565818,6227127127,29787743,102221114,2345573,9494702,20705768,60041193,283332,572404,4095234,13980759,2250561,6812678,468680961,1484565715,1070778075,6124906013,25975841,88812759,3811902,13408355,1844673,7168081,2250561,6812678
"352.nab","48","base","0x40b8a5","/rwthfs/rz/cluster/work/pj416018/jube-out/spec-out/benchspec/OMP2012/352.nab/build/build_base_base-profiler.0000/nblist.c","889","ImplTaskRegion2",7.12338,7.12338,4014184719,4014184719,9831201492,9831201492,175065910,175065910,5847005,5847005,160890613,160890613,96699,96699,25134326,25134326,14510122,14510122,4014184719,4014184719,9656135582,9656135582,150028283,150028283,25037627,25037627,10624204,10624204,14510122,14510122
